Hans,announcements,0.938959777
Hans,announcements,0.5
cstapels,announcements,0.231831133
Vinod,announcements,0.5
Hans,announcements,0.5
turgo,announcements,0.27938816
Hans,announcements,0.5
mnaveed1,announcements,0.5
Hans,announcements,0.245156974
mnaveed1,announcements,0.5
Vinod,announcements,0.793976843
mnaveed1,announcements,0.842220664
mnaveed1,announcements,0.283161879
cstapels,announcements,0.873105526
mnaveed1,announcements,0.5
mnaveed1,announcements,0.784004807
cstapels,announcements,0.5
mnaveed1,announcements,0.920477569
cstapels,announcements,0.722394764
mnaveed1,announcements,0.5
cstapels,announcements,0.873036861
mnaveed1,announcements,0.5
Vinod,announcements,0.5
Vinod,announcements,0.5
Hans,announcements,0.15251869
piajola,announcements,0.776322424
Hans,announcements,0.5
Hans,announcements,0.5
Hans,announcements,0.221578121
Hans,announcements,0.146181047
Vinod,announcements,0.071940809
Hans,announcements,0.970507741
mbrizuela,announcements,0.161596596
Vinod,announcements,0.209545314
mbrizuela,announcements,0.800044477
mbrizuela,announcements,0.909995437
Hans,announcements,0.5
Hans,announcements,0.949948907
piajola,announcements,0.842597544
Hans,announcements,0.886756241
piajola,announcements,0.989495516
Hans,announcements,0.938583612
Hans,announcements,0.180182934
piajola,announcements,0.980338097
mprolo,announcements,0.232090294
CorBee,announcements,0.781121433
Hans,announcements,0.5
mprolo,announcements,0.710525036
CorBee,announcements,0.820825934
mprolo,announcements,0.5
Hans,announcements,0.811566234
skydesign,announcements,0.213258356
mprolo,announcements,0.098444313
Hans,announcements,0.13543877
Hans,announcements,0.981589437
Hans,announcements,0.833859324
Hans,announcements,0.274941385
Hans,announcements,0.240929365
Hans,announcements,0.870397389
lee,announcements,0.5
turgo,announcements,0.080645829
lee,announcements,0.895641744
turgo,announcements,0.765115499
lee,announcements,0.214653283
turgo,announcements,0.997742295
lee,announcements,0.836767793
turgo,announcements,0.966451406
turgo,announcements,0.12899977
lee,announcements,0.0391092
CorBee,announcements,0.730803609
turgo,announcements,0.786651969
frazelle09,announcements,0.828638196
rw950431,announcements,0.5
johnmx,announcements,0.06178239
Adarsh_Murthy,announcements,0.796575189
johnmx,announcements,0.5
Adarsh_Murthy,announcements,0.5
johnmx,announcements,0.077344805
turgo,announcements,0.5
ntallari,announcements,0.967254043
turgo,announcements,0.941954136
geo3geo,announcements,0.5
turgo,announcements,0.934232533
gabrielb,announcements,0.074539244
vorms,announcements,0.5
Hans,announcements,0.054184914
Hans,announcements,0.16297555
rayellam,announcements,0.862078071
ma11en,announcements,0.843548298
Jeff Goodwin,announcements,0.946028113
Hans,announcements,0.973331928
Hans,announcements,0.5
Hans,announcements,0.239379078
JChristensen,announcements,0.071035981
Hans,announcements,0.728303373
CorBee,announcements,0.5
JChristensen,announcements,0.5
turgo,announcements,0.5
Hans,announcements,0.5
